Model ID,Performance,Performance Bin,Length Width Ratio,Length Width Bin,Display Ratio,Display Ratio Bin
1721,0.18278594733333300,Medium Performance,1.7970945529291000,Vertical Screen,2.4848484909476600,Vertical Display
1713,0.2617384616666670,Medium Performance,1.9096260932922800,Vertical Screen,2.4661654092991700,Vertical Display
1761,0.24897393100000000,Medium Performance,1.9630741671532500,Vertical Screen,2.4848484909476600,Vertical Display
1762,0.2023978776666670,Medium Performance,1.9044386327754200,Vertical Screen,3.2074830072424700,Vertical Display
1763,0.301883984,High Performance,1.9518153200561700,Vertical Screen,2.4661654092991700,Vertical Display
1764,0.301883984,High Performance,1.9518153200561700,Vertical Screen,2.4661654092991700,Vertical Display
1765,0.26853544366666700,Medium Performance,1.9512056416064000,Vertical Screen,2.4661654092991700,Vertical Display
1766,0.18845742233333300,Medium Performance,1.9529955173652000,Vertical Screen,0.8460317412158730,Horizantal Display
1770,0.25418242333333300,Medium Performance,1.9324961352061000,Vertical Screen,2.4848484909476600,Vertical Display
1768,0.292739456,High Performance,2.0330766619079400,Vertical Screen,2.4848484909476600,Vertical Display
1769,0.301883984,High Performance,1.916310398985030,Vertical Screen,2.4661654092991700,Vertical Display
1771,0.16393737666666700,Medium Performance,1.747685051310240,Vertical Screen,1.1536796557127100,Vertical Display
1773,0.20882840866666700,Medium Performance,1.9324961352061000,Vertical Screen,2.4848484909476600,Vertical Display
1774,0.2023978776666670,Medium Performance,1.9044386327754200,Vertical Screen,3.2074830072424700,Vertical Display
1760,0.16393737666666700,Medium Performance,1.747685051310240,Vertical Screen,1.1536796557127100,Vertical Display
1767,0.26853544366666700,Medium Performance,1.9512056416064000,Vertical Screen,2.4661654092991700,Vertical Display
1759,0.21962721566666700,Medium Performance,1.7185607797228700,Vertical Screen,2.102564098682450,Vertical Display
1772,0.199785946,Medium Performance,1.684541138881830,Vertical Screen,1.0532581453755800,Vertical Display
1757,0.27253726866666700,Medium Performance,1.778792675420660,Vertical Screen,2.4661654092991700,Vertical Display
1743,0.33523252433333300,High Performance,1.850311916150090,Vertical Screen,2.4661654092991700,Vertical Display
1744,0.199785946,Medium Performance,1.684541138881830,Vertical Screen,1.0532581453755800,Vertical Display
1745,0.19039240333333300,Medium Performance,1.8891752517528200,Vertical Screen,3.2074830072424700,Vertical Display
1746,0.20882840866666700,Medium Performance,1.9420433783179100,Vertical Screen,2.4848484909476600,Vertical Display
1747,0.366483478,High Performance,1.7751490331360500,Vertical Screen,2.4661654092991700,Vertical Display
1748,0.19039240333333300,Medium Performance,1.822846116254720,Vertical Screen,3.2074830072424700,Vertical Display
1749,0.277464015,Medium Performance,1.8754558052617100,Vertical Screen,2.6395676627692200,Vertical Display
1758,0.199785946,Medium Performance,1.684541138881830,Vertical Screen,1.0532581453755800,Vertical Display
1753,0.17233822033333300,Medium Performance,1.8310694826060100,Vertical Screen,1.171428567914290,Vertical Display
1754,0.159110707,Medium Performance,1.8310694826060100,Vertical Screen,0.8460317412158730,Horizantal Display
1755,0.159110707,Medium Performance,1.8310694826060100,Vertical Screen,0.8460317412158730,Horizantal Display
1756,0.159110707,Medium Performance,1.8310694826060100,Vertical Screen,0.8460317412158730,Horizantal Display
1750,0.1935504856666670,Medium Performance,2.092742676553780,Vertical Screen,2.8534798549701300,Vertical Display
1788,0.19039240333333300,Medium Performance,1.920145340448610,Vertical Screen,2.0411255533238900,Vertical Display
1789,0.27253726866666700,Medium Performance,1.778792675420660,Vertical Screen,2.4661654092991700,Vertical Display
1790,0.21491244900000000,Medium Performance,1.6992879578791800,Vertical Screen,3.2074830072424700,Vertical Display
1791,0.17233822033333300,Medium Performance,1.6759706613587400,Vertical Screen,2.510204088804670,Vertical Display
1795,0.301883984,High Performance,2.0262164325796300,Vertical Screen,2.4661654092991700,Vertical Display
1793,0.301883984,High Performance,1.766950908617790,Vertical Screen,2.4661654092991700,Vertical Display
1794,0.18845742233333300,Medium Performance,1.9529955173652000,Vertical Screen,0.8460317412158730,Horizantal Display
1796,0.28205047133333300,High Performance,1.9333306238944000,Vertical Screen,2.4661654092991700,Vertical Display
